idx,Outcome
258,0
220,1
438,0
130,1
730,0
641,0
498,1
232,0
133,0
320,0
16,1
564,0
600,0
549,1
106,0
630,1
352,0
36,1
186,1
37,1
28,0
670,1
697,0
590,1
569,0
289,0
8,1
373,0
462,0
391,1
685,0
510,0
708,1
197,0
449,0
683,0
74,0
381,0
508,0
167,1
737,0
591,0
269,0
451,0
554,0
9,0
580,0
529,0
684,0
301,1
41,1
230,1
558,1
48,1
61,1
62,0
134,0
598,1
375,1
104,0
162,0
201,0
207,0
602,0
538,0
491,0
21,0
216,0
92,0
627,1
503,0
615,0
243,0
715,1
32,0
702,1
179,1
355,1
250,1
572,0
384,0
477,0
666,0
303,1
758,0
187,1
151,0
682,0
103,0
45,1
90,0
337,1
215,1
642,0
177,0
46,1
73,0
222,0
354,0
551,0
427,1
757,1
101,0
547,0
478,0
1,0
608,0
713,0
616,0
120,1
501,0
633,0
260,1
79,0
200,0
210,0
515,1
767,0
639,0
314,1
531,0
723,0
394,1
141,0
282,1
353,0
378,1
749,0
629,0
76,0
287,0
6,0
587,0
388,1
440,1
347,0
299,0
395,0
374,1
34,1
469,1
527,0
585,0
505,0
525,0
635,1
227,1
43,1
3,0
678,0
500,0
256,0
80,0
174,0
